Input Price (OpenRouter),Max Output,endpoint version,Output Price (OpenRouter),Cache Read Price (OpenRouter),Latency,Output/Input Price,Openrouter Card,Total Context,API Provider,Exact Name,Access,Model Vendor,Throughput,Cache Write Price (OpenRouter),token section,Model Name
0.3,65536,gemini-2.5-flash-preview-09-2025,2.5,0.075,0.57,8.333333333333,https://openrouter.ai/google/gemini-2.5-flash-preview-09-2025,1048576,Google AI Studio,google/gemini-2.5-flash-preview-09-2025,Closed,google,141.1,0.383,,Google: Gemini 2.5 Flash Preview 09-2025
1.2,32800,qwen3-max,6,0.24,1.84,5,https://openrouter.ai/qwen/qwen3-max,256000,Alibaba Cloud Int.,qwen/qwen3-max,,qwen,35.6,,"≥128,000",Qwen: Qwen3 Max
3,64000,claude-sonnet-4-20250514,15,0.3,2.15,5,https://openrouter.ai/anthropic/claude-sonnet-4,1000000,Anthropic,anthropic/claude-sonnet-4,Closed,anthropic,62.84,3.75,"≤200,000",Anthropic: Claude Sonnet 4
0.03,131072,"openai/gpt-oss-20b
fp4",0.14,,0.32,4.666666666667,https://openrouter.ai/openai/gpt-oss-20b,131072,DeepInfra,openai/gpt-oss-20b,Open,openai,116.6,,,OpenAI: gpt-oss-20b
0.05,128000,gpt-5-nano-2025-08-07,0.4,0.005,3.93,8,https://openrouter.ai/openai/gpt-5-nano,400000,OpenAI,openai/gpt-5-nano,Closed,openai,118.4,,,OpenAI: GPT-5 Nano
1.25,128000,gpt-5-2025-08-07,10,0.125,6.91,8,https://openrouter.ai/openai/gpt-5,400000,OpenAI,openai/gpt-5,Closed,openai,50.53,,,OpenAI: GPT-5
0.15,131072,openai/gpt-oss-120b-maas,0.6,,0.35,4,https://openrouter.ai/openai/gpt-oss-120b,131072,Google Vertex,openai/gpt-oss-120b,Open,openai,546.6,,,OpenAI: gpt-oss-120b
6,64000,claude-sonnet-4-20250514,22.5,0.6,2.15,3.75,https://openrouter.ai/anthropic/claude-sonnet-4,1000000,Anthropic,anthropic/claude-sonnet-4,Closed,anthropic,62.84,7.5,">200,000",Anthropic: Claude Sonnet 4
0.6,1280000,glm-4.6,2.2,0.11,1.67,3.666666666667,https://openrouter.ai/z-ai/glm-4.6,202752,Z.AI,z-ai/glm-4.6,Open,z-ai,34.37,,,Z.AI: GLM 4.6
0.075,32800,openai/gpt-oss-20b-maas,0.3,,0.36,4,https://openrouter.ai/openai/gpt-oss-20b,131072,Google Vertex,openai/gpt-oss-20b,Open,openai,480.3,,,OpenAI: gpt-oss-20b
0.3,65536,gemini-2.5-flash-preview-09-2025,2.5,0.075,0.64,8.333333333333,https://openrouter.ai/google/gemini-2.5-flash-preview-09-2025,1048576,Google Vertex,google/gemini-2.5-flash-preview-09-2025,Closed,google,146.4,0.383,,Google: Gemini 2.5 Flash Preview 09-2025
2.5,65536,gemini-2.5-pro,15,0.625,2.14,6,https://openrouter.ai/google/gemini-2.5-pro,1048576,Google AI Studio,google/gemini-2.5-pro,Closed,google,94.47,2.875,">200,000",Google: Gemini 2.5 Pro
2.5,16400,chatgpt-4o-latest,10,1.25,0.54,4,https://openrouter.ai/openai/chatgpt-4o-latest,128000,OpenAI,openai/gpt-4o,Closed,openai,83.79,,,OpenAI: GPT-4o
0.05,131072,"openai/gpt-oss-120b
fp4",0.27,,0.2,5.4,https://openrouter.ai/openai/gpt-oss-120b,131072,DeepInfra,openai/gpt-oss-120b,Open,openai,117.8,,,OpenAI: gpt-oss-120b
3,32800,qwen3-max,15,0.6,1.84,5,https://openrouter.ai/qwen/qwen3-max,256000,Alibaba Cloud Int.,qwen/qwen3-max,,qwen,35.6,,"<128,000",Qwen: Qwen3 Max
0.25,400000,gpt-5-mini,2,0.03,3.55,8,https://openrouter.ai/openai/gpt-5-mini,400000,Azure,openai/gpt-5-mini,Closed,openai,67.23,,,OpenAI: GPT-5 Mini
6,64000,claude-sonnet-4@20250514,22.5,0.6,1.33,3.75,https://openrouter.ai/anthropic/claude-sonnet-4,1000000,Google Vertex,anthropic/claude-sonnet-4,Closed,anthropic,60.4,7.5,">200,000",Anthropic: Claude Sonnet 4
6,64000,claude-sonnet-4-5-20250929,22.5,0.6,2.72,3.75,https://openrouter.ai/anthropic/claude-sonnet-4.5,1000000,Anthropic,anthropic/claude-sonnet-4.5,Closed,anthropic,60.14,7.5,">200,000",Anthropic: Claude Sonnet 4.5
0.25,262144,Qwen/Qwen3-Coder-480B-A35B-Instruct,1,,2.22,4,https://openrouter.ai/qwen/qwen3-coder,262144,SiliconFlow,qwen/qwen3-coder,Open,qwen,15.6,,,Qwen: Qwen3 Coder 480B A35B
3,256000,grok-4-0709,15,0.75,13.29,5,https://openrouter.ai/x-ai/grok-4,256000,xAI,x-ai/grok-4,,x-ai,33.43,,,xAI: Grok 4
0.15,16400,openai/gpt-4o-mini,0.6,0.075,0.75,4,https://openrouter.ai/openai/gpt-4o-mini,128000,Azure,openai/gpt-4o-mini,Closed,openai,257.4,,,OpenAI: GPT-4o-mini
3,64000,claude-sonnet-4-5-20250929,15,0.3,2.72,5,https://openrouter.ai/anthropic/claude-sonnet-4.5,1000000,Anthropic,anthropic/claude-sonnet-4.5,Closed,anthropic,60.14,3.75,"≤200,000",Anthropic: Claude Sonnet 4.5
1.25,128000,gpt-5-codex,10,0.125,5.32,8,https://openrouter.ai/openai/gpt-5-codex,400000,OpenAI,openai/gpt-5-codex,Closed,openai,38.22,,,OpenAI: GPT-5 Codex
0.07,262144,"Qwen/Qwen3-Coder-30B-A3B-Instruct
fp8",0.28,,1.19,4,https://openrouter.ai/qwen/qwen3-coder-30b-a3b-instruct/,262144,SiliconFlow,qwen/qwen3-coder-30b-a3b-instruct,Open,qwen,45.76,,,Qwen: Qwen3 Coder 30B A3B Instruct
15,128000,,120,,213.6,8,,400000,OpenAI,openai/gpt-5-pro,,openai,8.36,,,OpenAI: GPT-5 Pro
0.13,262144,Qwen/Qwen3-235B-A22B-Thinking-2507,0.6,,1.96,4.615384615385,https://openrouter.ai/qwen/qwen3-235b-a22b-thinking-2507,262144,SiliconFlow,qwen/qwen3-235b-a22b-thinking-2507,Open,qwen,17.49,,,Qwen: Qwen3 235B A22B Thinking 2507
